0,0.14216,0.30158,-0.01874
0.1,0.3485,0.041713,-0.0031083
0.2,0.29456,-0.20478,-0.012231
0.3,-0.33855,0.086091,-0.061789
0.4,0.45585,0.24703,0.063173
0.5,0.084989,-0.012428,-0.0077915
0.6,0.041457,-0.050691,-0.0089225
0.7,-0.0043037,-0.10295,-0.041676
0.8,-0.25558,0.059093,0.073743
0.9,0.29823,-0.055541,0.021537
1,-0.28719,0.10802,-0.10461
1.1,0.22707,0.17524,0.017808
1.2,0.045054,-0.32697,-0.016206
1.3,0.089287,-0.38055,-0.05529
1.4,0.55614,-0.0041748,0.038598
1.5,-0.033002,0.2088,-0.076129
1.6,0.30747,-0.24021,-0.038703
1.7,0.043404,0.16419,0.0073412
1.8,-0.10768,0.2813,0.016079
1.9,0.36569,0.15285,0.021033
2,0.64101,-0.040696,0.022976
2.1,0.70454,0.30897,0.036566
2.2,0.35882,0.31464,-0.097508
2.3,0.66546,0.19904,0.015245
2.4,0.93489,-0.34418,0.090963
2.5,0.26589,-0.090405,-0.031237
2.6,1.0764,0.41896,-0.047724
2.7,1.0769,0.16533,-0.027818
2.8,0.68126,0.15629,-0.02339
2.9,1.001,0.24901,-0.083648
3,1.1749,0.086107,-0.052868
3.1,1.2219,-0.027934,-0.058482
3.2,1.0223,-0.059517,-0.013027
3.3,1.3572,0.0195,-0.028431
3.4,1.3688,0.15714,0.054743
3.5,1.2303,0.039132,-0.0042411
3.6,1.3419,0.13747,-0.088149
3.7,1.402,0.24257,-0.031687
3.8,1.7025,0.1675,0.016497
3.9,1.5242,-0.039564,-0.066181
4,1.7273,-0.0059295,-0.045553
4.1,1.5949,0.10667,0.02174
4.2,2.1206,0.049827,0.031548
4.3,1.9134,0.34326,-0.035585
4.4,2.1443,-0.15701,0.043312
4.5,2.1811,0.10797,-0.058042
4.6,2.1353,-0.17247,-0.005414
4.7,2.4792,0.26917,-0.024645
4.8,2.0768,-0.055557,-0.12036
4.9,2.5498,-0.080677,0.011532
5,2.6597,0.11955,-0.014685
5.1,2.5505,0.29898,-0.012833
5.2,3.009,-0.039305,0.020921
5.3,2.5352,0.39052,-0.048388
5.4,3.0088,-0.42293,0.016224
5.5,2.9896,0.089982,0.10316
5.6,3.0648,0.10385,0.023024
5.7,3.1376,0.048874,-0.046177
5.8,3.1369,0.098966,-0.00921
5.9,3.3501,-0.16214,0.051096
6,3.3262,-0.406,0.007439
6.1,3.5835,0.21704,-0.017968
6.2,3.759,-0.13097,0.01527
6.3,3.8566,-0.16638,-0.020666
6.4,4.0201,0.25184,0.022567
6.5,4.1016,-0.20185,-0.059613
6.6,3.816,0.14629,-0.012681
6.7,4.1187,0.3497,0.028757
6.8,4.159,0.014948,0.055985
6.9,4.3751,0.056313,-0.049259
7,4.4366,0.14349,-0.051381
7.1,4.8083,0.022902,0.047662
7.2,4.6045,-0.22368,0.040402
7.3,4.6085,0.32026,-0.034647
7.4,4.9577,-0.074138,0.00020697
7.5,4.8403,-0.19136,0.0035013
7.6,4.9392,0.048378,-0.11054
7.7,5.0788,0.15782,-0.037613
7.8,5.204,0.096624,-0.03414
7.9,5.282,-0.24226,0.027739
8,5.2374,0.035133,0.071645
8.1,5.5704,0.19514,0.076085
8.2,5.9113,0.0039839,-0.012588
8.3,6.0901,0.10272,0.0015913
8.4,5.6418,0.099134,-0.011467
8.5,5.7385,0.29354,-0.056971
8.6,6.1164,0.069956,-0.089653
8.7,6.4899,-0.062183,-0.018233
8.8,6.3644,-0.19423,-0.020487
8.9,6.4686,-0.029822,0.041984
9,6.8297,-0.40435,-0.045584
9.1,6.6122,0.090718,0.065607
9.2,6.5732,-0.082149,0.00035956
9.3,6.7504,-0.1669,0.0070303
9.4,6.9064,-0.53971,0.0024203
9.5,7.3505,-0.31699,-0.065715
9.6,7.5445,-0.11623,0.026136
9.7,7.3078,-0.27014,0.056279
9.8,7.1102,0.18423,-0.11486
9.9,7.3193,-0.11017,0.04735
10,7.5921,-0.38604,-0.065546
10.1,7.7867,0.20869,-0.034965
10.2,7.5902,0.068762,0.0061054
10.3,7.8303,-0.054729,0.042167
10.4,8.0957,-0.45377,-0.0046955
10.5,8.2201,-0.085171,-0.0077106
10.6,7.8743,-0.12212,0.009234
10.7,8.1217,0.092524,0.049498
10.8,8.4868,-0.16634,-0.020138
10.9,8.7224,0.082876,0.0082274
11,8.4454,-0.10055,-0.0052351
11.1,8.812,-0.20374,-0.031627
11.2,8.6865,0.0016095,-0.051318
11.3,8.9246,0.01641,-0.063162
11.4,9.2326,-0.34134,0.014669
11.5,9.069,-0.14424,0.02911
11.6,9.2541,-0.20817,0.014791
11.7,9.4518,-0.058547,0.026368
11.8,9.6325,0.20084,-0.011191
11.9,9.5369,-0.073074,0.054593
12,9.9427,0.023417,0.024771
12.1,9.9154,-0.0058179,0.085571
12.2,9.5787,0.014253,0.068716
12.3,9.4238,0.15041,0.018749
12.4,10.099,0.08804,0.11795
12.5,9.8979,0.081803,0.070294
12.6,9.5231,-0.24789,0.040978
12.7,10.034,-0.034956,0.10169
12.8,9.8097,0.11361,0.1305
12.9,10.402,-0.51941,0.1659
13,9.9606,-0.23914,0.20557
13.1,10.104,-0.43965,0.21356
13.2,10.412,0.029753,0.13709
13.3,10.161,-0.35303,0.23922
13.4,10.77,-0.39874,0.19195
13.5,10.752,-0.0041823,0.22062
13.6,10.649,0.15049,0.21503
13.7,10.625,-0.03483,0.29188
13.8,10.343,-0.21157,0.24287
