2699.9,-218.56,776.79,10.19,0.3566,-0.07465,-0.02618
2700,-218.42,776.78,10.171,0.3665,-0.060844,-0.027454
2700.1,-218.55,776.83,10.187,0.39513,-0.091903,-0.018618
2700.2,-218.53,776.74,10.192,0.42272,-0.04723,-0.020998
2700.3,-218.59,776.78,10.195,0.42379,-0.095987,-0.0074892
2700.4,-218.59,776.71,10.185,0.45049,-0.030233,-0.026721
2700.5,-218.6,776.65,10.167,0.47007,0.019077,-0.051373
2700.6,-218.68,776.64,10.163,0.5157,-0.029842,-0.039861
2700.7,-218.7,776.62,10.158,0.51096,-0.024669,-0.041051
2700.8,-218.7,776.63,10.149,0.47482,-0.024757,-0.043379
2700.9,-218.74,776.67,10.171,0.4476,-0.085179,-0.0026244
2701,-218.82,776.63,10.158,0.50559,-0.090189,-0.011978
2701.1,-218.83,776.64,10.157,0.48199,-0.092917,-0.0095206
2701.2,-218.81,776.6,10.153,0.47198,-0.043501,-0.02047
2701.3,-218.87,776.56,10.172,0.50901,-0.062228,0.00025366
2701.4,-218.9,776.5,10.165,0.53532,-0.033191,-0.01078
2701.5,-218.87,776.47,10.172,0.51572,-0.0015379,-0.011372
2701.6,-219,776.4,10.162,0.59532,-0.020599,-0.013892
2701.7,-219.07,776.36,10.145,0.62308,-0.022365,-0.024413
2701.8,-219.15,776.37,10.147,0.63581,-0.062281,-0.0086396
2701.9,-219.21,776.36,10.146,0.646,-0.072752,-0.0037544
2702,-219.21,776.31,10.146,0.64282,-0.046737,-0.010443
2702.1,-219.23,776.32,10.15,0.63259,-0.054665,-0.0026106
2702.2,-219.29,776.3,10.158,0.6443,-0.071677,0.010059
2702.3,-219.32,776.25,10.14,0.65523,-0.046677,-0.0091416
2702.4,-219.35,776.25,10.156,0.65401,-0.066652,0.011109
2702.5,-219.43,776.22,10.166,0.67262,-0.083123,0.025763
2702.6,-219.46,776.2,10.152,0.67532,-0.072169,0.014621
2702.7,-219.51,776.14,10.157,0.69434,-0.06513,0.016463
2702.8,-219.54,776.09,10.155,0.70439,-0.053005,0.011072
2702.9,-219.57,776.05,10.14,0.7121,-0.0336,-0.0052015
2703,-219.61,775.99,10.132,0.72559,-0.017811,-0.016682
2703.1,-219.65,776.01,10.142,0.7189,-0.04261,0.0033708
2703.2,-219.68,776.02,10.152,0.71461,-0.059964,0.020093
2703.3,-219.73,776.03,10.144,0.71519,-0.066741,0.020994
2703.4,-219.73,776.01,10.133,0.71252,-0.050178,0.0063833
